,MC,HR,VT,Abadie
AL,0.0,0.480464986919827,0.0,0.5195350131139017
AK,0.0,0.024373751658520217,0.0,0.975626248340556
AZ,0.0,0.020391594012158044,0.0,0.9796084059899534
AR,0.0,0.0369465030386784,0.0,0.9630534969594062
CA,0.0,0.7659895051488754,0.23373686256719547,0.00027363141326735603
CO,0.0,0.16829894794822,0.0,0.8317010519701162
CT,0.0,0.9300015660439165,0.0,0.06999843404612423
DE,0.0,0.1835117628030103,0.0,0.8164882371918462
DC,0.0,0.0,0.5310334072536635,0.4689665927470088
FL,0.0,0.3577140131174706,0.6422859864835866,0.0
GA,0.0,0.0,0.0,1.0000000000107083
HI,0.0,0.0,0.0,0.9999999999994881
ID,0.0,0.03957451827581843,0.0,0.960425481722287
IL,0.0,0.009842255861377675,0.0,0.9901577442209362
IN,0.0,0.0,0.0,1.0000000000018332
IA,0.0,0.0,0.0,1.000000000000175
KS,0.0,0.3410358499536985,0.0,0.6589641500533108
KY,0.0,0.047953811798583885,0.0,0.952046188204149
LA,0.0,0.0826405189437892,0.0,0.917359481071726
ME,0.0,0.1052362201784705,0.0,0.8947637798199114
MD,0.0,0.36827136870367694,0.0,0.6317286313416351
MA,0.0,0.26603094125180615,0.0,0.7339690588119308
MI,0.0,0.28700385778323867,0.7129961430185252,0.0
MN,0.0,0.42315561913074096,0.0,0.5768443808327227
MS,0.0,0.3633776842571417,0.0,0.636622315736307
MO,0.0,0.02007075053266298,0.0,0.9799292494754265
MT,0.0,0.0688793302565234,0.0,0.9311206697421781
NE,0.0,0.18809122803108014,0.0,0.8119087719646692
NV,0.0,0.07303244268605849,0.9269675573150575,0.0
NH,0.0,0.0,0.011471400704997924,0.9885285992949633
NJ,0.0,0.4934608262464029,0.0,0.5065391742907619
NM,0.0,0.11982038759449874,0.0,0.8801796124011546
NY,0.0,0.22466250297266044,0.7753374999013449,0.0
NC,0.0,0.18095009121810113,0.0,0.8190499086936164
ND,0.0,0.4120650662126436,0.5879349337790936,0.0
OH,0.0,0.0,0.13599642314612115,0.864003576884637
OK,0.0,0.13500054757945165,0.0,0.8649994524296873
OR,0.0,0.03093522460303772,0.0,0.9690647753936598
PA,0.0,0.0,0.0429143902836192,0.9570856097396783
RI,0.0,0.0,0.0771809749050128,0.9228190250942324
SC,0.0,0.0,0.019747283992681147,0.9802527160071183
SD,0.008655035179548421,0.17998764612715856,0.0,0.8113573186891821
TN,0.0,0.041672561501295224,0.0,0.9583274384903223
TX,0.034628711326247175,0.7973716335671489,0.16799964534782064,0.0
UT,0.0,0.018894486966832675,0.0,0.9811055130311277
VT,0.31792386545154605,0.12900761994888513,0.5530685146002641,0.0
VA,0.0,0.07350999542952716,0.0,0.9264900045556727
WA,0.0,0.05230704371830153,0.0,0.9476929562548504
WV,0.0,0.012923459379991028,0.0,0.9870765406186282
WI,0.0,0.03114273992701301,0.0,0.9688572600789006
WY,0.0,0.08778291120824666,0.9122170887905362,0.0
